Location,Cases,Date
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-04
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-04
Old Choa Chu Kang Road,2,2017-02-04
Toa Payoh North (Blk 205),1,2017-02-04
Toa Payoh North (Blk 207),1,2017-02-04
Woodlands Avenue 6 (Blk 677),1,2017-02-04
Woodlands Avenue 6 (Blk 680),1,2017-02-04
Tampines Street 11 (Blk 101),4,2017-02-05
Tampines Street 11 (Blk 102),4,2017-02-05
Tampines Street 11 (Blk 103),2,2017-02-05
Tampines Street 11 (Blk 104),4,2017-02-05
Tampines Street 11 (Blk 113),1,2017-02-05
Tampines Street 11 (Blk 138),1,2017-02-05
Tampines Street 11 (Tampines Court),1,2017-02-05
Tampines Avenue 4,1,2017-02-05
Tampines Street 82 (Blk 842D),1,2017-02-05
Tampines Street 82 (Blk 842E),1,2017-02-05
Tampines Street 82 (Blk 856F),2,2017-02-05
Hougang Avenue 8 (Blk 467),1,2017-02-05
Hougang Avenue 10 (Blk 403),2,2017-02-05
Hougang Avenue 10 (Blk 408),1,2017-02-05
Beach Road,2,2017-02-05
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-05
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-05
Old Choa Chu Kang Road,2,2017-02-05
Toa Payoh North (Blk 205),1,2017-02-05
Toa Payoh North (Blk 207),1,2017-02-05
Woodlands Avenue 6 (Blk 677),1,2017-02-05
Woodlands Avenue 6 (Blk 680),1,2017-02-05
Tampines Street 11 (Blk 101),4,2017-02-06
Tampines Street 11 (Blk 102),4,2017-02-06
Tampines Street 11 (Blk 103),2,2017-02-06
Tampines Street 11 (Blk 104),4,2017-02-06
Tampines Street 11 (Blk 113),1,2017-02-06
Tampines Street 11 (Blk 138),1,2017-02-06
Tampines Street 11 (Tampines Court),1,2017-02-06
Tampines Avenue 4,1,2017-02-06
Tampines Street 82 (Blk 842D),1,2017-02-06
Tampines Street 82 (Blk 842E),1,2017-02-06
Tampines Street 82 (Blk 856F),2,2017-02-06
Hougang Avenue 8 (Blk 467),1,2017-02-06
Hougang Avenue 10 (Blk 403),2,2017-02-06
Hougang Avenue 10 (Blk 408),1,2017-02-06
Beach Road,2,2017-02-06
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-06
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-06
Old Choa Chu Kang Road,2,2017-02-06
Toa Payoh North (Blk 205),1,2017-02-06
Toa Payoh North (Blk 207),1,2017-02-06
Woodlands Avenue 6 (Blk 677),1,2017-02-06
Woodlands Avenue 6 (Blk 680),1,2017-02-06
Tampines Street 11 (Blk 101),4,2017-02-07
Tampines Street 11 (Blk 102),4,2017-02-07
Tampines Street 11 (Blk 103),2,2017-02-07
Tampines Street 11 (Blk 104),4,2017-02-07
Tampines Street 11 (Blk 113),1,2017-02-07
Tampines Street 11 (Blk 138),1,2017-02-07
Tampines Street 11 (Tampines Court),1,2017-02-07
Tampines Avenue 4,1,2017-02-07
Tampines Street 82 (Blk 842B),1,2017-02-07
Tampines Street 82 (Blk 842D),1,2017-02-07
Tampines Street 82 (Blk 842E),1,2017-02-07
Tampines Street 82 (Blk 856F),2,2017-02-07
Hougang Avenue 8 (Blk 467),1,2017-02-07
Hougang Avenue 10 (Blk 403),2,2017-02-07
Hougang Avenue 10 (Blk 408),1,2017-02-07
Beach Road,4,2017-02-07
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-07
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-07
Old Choa Chu Kang Road,2,2017-02-07
Toa Payoh North (Blk 205),1,2017-02-07
Toa Payoh North (Blk 207),1,2017-02-07
Woodlands Industrial Park E1,2,2017-02-07
Tampines Street    11 (Blk 101),4,2017-02-08
Tampines Street    11 (Blk 102),4,2017-02-08
Tampines Street    11 (Blk 103),2,2017-02-08
Tampines Street    11 (Blk 104),4,2017-02-08
Tampines Street    11 (Blk 113),1,2017-02-08
Tampines Street    11 (Blk 138),1,2017-02-08
Tampines Street    11 (Blk 139),1,2017-02-08
Tampines Street    11 (Tampines Court),1,2017-02-08
Tampines Avenue 4,1,2017-02-08
Tampines Street    82 (Blk 842B),1,2017-02-08
Tampines Street    82 (Blk 842D),1,2017-02-08
Tampines Street    82 (Blk 842E),1,2017-02-08
Tampines Street    82 (Blk 856F),2,2017-02-08
Beach Road,5,2017-02-08
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-08
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-08
Bukit Batok Street 21 (Blk 218),1,2017-02-08
Gilstead Road (Gilstead 38),1,2017-02-08
Gilstead Court),1,2017-02-08
Jurong West Street 81 (Blk 817),1,2017-02-08
Jurong West Street 81 (Blk 831),1,2017-02-08
Old Choa Chu Kang Road,2,2017-02-08
Tampines Street    41 (Blk 421),1,2017-02-08
Tampines Street    41 (Blk 424),1,2017-02-08
Toa Payoh North (Blk 205),1,2017-02-08
Toa Payoh North (Blk 207),1,2017-02-08
Tampines Street    11 (Blk 101),4,2017-02-09
Tampines Street    11 (Blk 102),4,2017-02-09
Tampines Street    11 (Blk 103),2,2017-02-09
Tampines Street    11 (Blk 104),4,2017-02-09
Tampines Street    11 (Blk 113),1,2017-02-09
Tampines Street    11 (Blk 138),1,2017-02-09
Tampines Street    11 (Blk 139),1,2017-02-09
Tampines Street    11 (Tampines Court),1,2017-02-09
Tampines Avenue 4,1,2017-02-09
Tampines Street    82 (Blk 842B),1,2017-02-09
Tampines Street    82 (Blk 842D),1,2017-02-09
Tampines Street    82 (Blk 842E),1,2017-02-09
Tampines Street    82 (Blk 856F),2,2017-02-09
Beach Road,5,2017-02-09
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-09
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-09
Bukit Batok Street 21 (Blk 218),1,2017-02-09
Gilstead Road (Gilstead 38),1,2017-02-09
Gilstead Road (Gilstead Court),1,2017-02-09
Jurong West Street 81 (Blk 817),1,2017-02-09
Jurong West Street 81 (Blk 831),1,2017-02-09
Old Choa Chu Kang Road,2,2017-02-09
Tampines Street    23 (Blk 212),1,2017-02-09
Tampines Street    23 (Blk 225),1,2017-02-09
Tampines Street    41 (Blk 421),1,2017-02-09
Tampines Street    41 (Blk 424),1,2017-02-09
Tampines Street    11 (Blk 101),4,2017-02-10
Tampines Street    11 (Blk 102),4,2017-02-10
Tampines Street    11 (Blk 103),2,2017-02-10
Tampines Street    11 (Blk 104),5,2017-02-10
Tampines Street    11 (Blk 113),1,2017-02-10
Tampines Street    11 (Blk 138),1,2017-02-10
Tampines Street    11 (Blk 139),1,2017-02-10
Tampines Street    11 (Tampines Court),1,2017-02-10
Tampines Avenue 4,1,2017-02-10
Tampines Street    82 (Blk 842B),1,2017-02-10
Tampines Street    82 (Blk 842D),1,2017-02-10
Tampines Street    82 (Blk 842E),1,2017-02-10
Tampines Street    82 (Blk 856F),2,2017-02-10
Beach Road,5,2017-02-10
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-10
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-10
Bukit Batok Street 21 (Blk 218),1,2017-02-10
Gilstead Road (Gilstead 38),1,2017-02-10
Gilstead Road (Gilstead Court),1,2017-02-10
Jurong West Street 81 (Blk 817),1,2017-02-10
Jurong West Street 81 (Blk 831),1,2017-02-10
Old Choa Chu Kang Road,2,2017-02-10
Tampines Street    23 (Blk 212),1,2017-02-10
Tampines Street    23 (Blk 225),1,2017-02-10
Tampines Street    41 (Blk 421),1,2017-02-10
Tampines Street    41 (Blk 424),1,2017-02-10
Tampines Street    45 (Blk 498H),1,2017-02-10
Tampines Street    45 (Blk 498J),1,2017-02-10
ampines Street    11 (Blk 101),4,2017-02-11
Tampines Street    11 (Blk 102),4,2017-02-11
Tampines Street    11 (Blk 103),2,2017-02-11
Tampines Street    11 (Blk 104),5,2017-02-11
Tampines Street    11 (Blk 113),1,2017-02-11
Tampines Street    11 (Blk 138),1,2017-02-11
Tampines Street    11 (Blk 139),1,2017-02-11
Tampines Street    11 (Tampines Court),1,2017-02-11
Beach Road,7,2017-02-11
Tampines Avenue 4,1,2017-02-11
Tampines Street    82 (Blk 842B),1,2017-02-11
Tampines Street    82 (Blk 842D),1,2017-02-11
Tampines Street    82 (Blk 842E),1,2017-02-11
Tampines Street    82 (Blk 856F),2,2017-02-11
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-11
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-11
Bukit Batok Street 21 (Blk 218),1,2017-02-11
Sungei Kadut Street 1,3,2017-02-11
Gilstead Road (Gilstead 38),1,2017-02-11
Gilstead Road (Gilstead Court),1,2017-02-11
Jurong West Street 81 (Blk 817),1,2017-02-11
Jurong West Street 81 (Blk 831),1,2017-02-11
Old Choa Chu Kang Road,2,2017-02-11
Redhill Lane (Blk 82),1,2017-02-11
Redhill Lane (Blk 85),1,2017-02-11
Tampines Street    23 (Blk 212),1,2017-02-11
Tampines Street    23 (Blk 225),1,2017-02-11
Tampines Street 41    (Blk 421),1,2017-02-11
Tampines Street    41 (Blk 424),1,2017-02-11
Tampines Street    45 (Blk 498H),1,2017-02-11
Tampines Street    45 (Blk 498J),1,2017-02-11
Tampines Street    11 (Blk 101),4,2017-02-12
Tampines Street    11 (Blk 102),4,2017-02-12
Tampines Street    11 (Blk 103),2,2017-02-12
Tampines Street    11 (Blk 104),5,2017-02-12
Tampines Street    11 (Blk 113),1,2017-02-12
Tampines Street    11 (Blk 138),1,2017-02-12
Tampines Street    11 (Blk 139),1,2017-02-12
Tampines Street    11 (Tampines Court),1,2017-02-12
Beach Road,7,2017-02-12
Tampines Avenue 4,1,2017-02-12
Tampines Street    82 (Blk 842B),1,2017-02-12
Tampines Street    82 (Blk 842D),1,2017-02-12
Tampines Street    82 (Blk 842E),1,2017-02-12
Tampines Street    82 (Blk 856F),2,2017-02-12
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-12
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-12
Bukit Batok Street 21 (Blk 218),1,2017-02-12
Sungei Kadut Street 1,3,2017-02-12
Gilstead Road (Gilstead 38),1,2017-02-12
Gilstead Road (Gilstead Court),1,2017-02-12
Jurong West Street 81 (Blk 817),1,2017-02-12
Jurong West Street 81 (Blk 831),1,2017-02-12
Old Choa Chu Kang Road,2,2017-02-12
Redhill Lane (Blk 82),1,2017-02-12
Redhill Lane (Blk 85),1,2017-02-12
Tampines Street    23 (Blk 212),1,2017-02-12
Tampines Street    23 (Blk 225),1,2017-02-12
Tampines Street 41    (Blk 421),1,2017-02-12
Tampines Street    41 (Blk 424),1,2017-02-12
Tampines Street    45 (Blk 498H),1,2017-02-12
Tampines Street    45 (Blk 498J),1,2017-02-12
Tampines Street    11 (Blk 101),4,2017-02-13
Tampines Street    11 (Blk 102),4,2017-02-13
Tampines Street    11 (Blk 103),2,2017-02-13
Tampines Street    11 (Blk 104),5,2017-02-13
Tampines Street    11 (Blk 113),1,2017-02-13
Tampines Street    11 (Blk 138),1,2017-02-13
Tampines Street    11 (Blk 139),1,2017-02-13
Tampines Street    11 (Tampines Court),1,2017-02-13
Beach Road,7,2017-02-13
Tampines Avenue 4,1,2017-02-13
Tampines Street    82 (Blk 842B),1,2017-02-13
Tampines Street    82 (Blk 842D),1,2017-02-13
Tampines Street    82 (Blk 842E),1,2017-02-13
Tampines Street    82 (Blk 856F),2,2017-02-13
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-13
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-13
Bukit Batok Street 21 (Blk 218),1,2017-02-13
Sungei Kadut Street 1,3,2017-02-13
Gilstead Road (Gilstead 38),1,2017-02-13
Gilstead Road (Gilstead Court),1,2017-02-13
Jurong West Street 81 (Blk 817),1,2017-02-13
Jurong West Street 81 (Blk 831),1,2017-02-13
Old Choa Chu Kang Road,2,2017-02-13
Redhill Lane (Blk 82),1,2017-02-13
Redhill Lane (Blk 85),1,2017-02-13
Tampines Street    23 (Blk 212),1,2017-02-13
Tampines Street    23 (Blk 225),1,2017-02-13
Tampines Street 41    (Blk 421),1,2017-02-13
Tampines Street    41 (Blk 424),1,2017-02-13
Tampines Street    45 (Blk 498H),1,2017-02-13
Tampines Street    45 (Blk 498J),1,2017-02-13
Tampines Street    11 (Blk 101),4,2017-02-14
Tampines Street    11 (Blk 102),4,2017-02-14
Tampines Street    11 (Blk 103),2,2017-02-14
Tampines Street    11 (Blk 104),5,2017-02-14
Tampines Street    11 (Blk 113),1,2017-02-14
Tampines Street    11 (Blk 138),1,2017-02-14
Tampines Street    11 (Blk 139),1,2017-02-14
Tampines Street    11 (Tampines Court),1,2017-02-14
Beach Road,7,2017-02-14
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-14
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-14
Bukit Batok Street 21 (Blk 218),1,2017-02-14
Sungei Kadut Street 1,3,2017-02-14
Bedok Reservoir Road (Blk 121),1,2017-02-14
Bedok Reservoir Road (Blk 133),1,2017-02-14
Dakota Crescent (Blk 60),1,2017-02-14
Old Airport Road    (Blk 99),1,2017-02-14
Gilstead Road (Gilstead 38),1,2017-02-14
Gilstead Road (Gilstead Court),1,2017-02-14
Jurong West Street 81 (Blk 817),1,2017-02-14
Jurong West Street 81 (Blk 831),1,2017-02-14
Old Choa Chu Kang Road,2,2017-02-14
Redhill Lane (Blk 82),1,2017-02-14
Redhill Lane (Blk 85),1,2017-02-14
Tampines Street    23 (Blk 212),1,2017-02-14
Tampines Street    23 (Blk 225),1,2017-02-14
Tampines Street    41 (Blk 421),1,2017-02-14
Tampines Street    41 (Blk 424),1,2017-02-14
Tampines Street    45 (Blk 498H),1,2017-02-14
Tampines Street    45 (Blk 498J),1,2017-02-14
Tampines Street    11 (Blk 101),4,2017-02-15
Tampines Street    11 (Blk 102),4,2017-02-15
Tampines Street    11 (Blk 103),2,2017-02-15
Tampines Street    11 (Blk 104),5,2017-02-15
Tampines Street    11 (Blk 107),2,2017-02-15
Tampines Street    11 (Blk 113),1,2017-02-15
Tampines Street    11 (Blk 138),1,2017-02-15
Tampines Street    11 (Blk 139),1,2017-02-15
Tampines Street    11 (Tampines Court),1,2017-02-15
Beach Road,7,2017-02-15
Sungei Kadut Street 1,3,2017-02-15
Bedok Reservoir Road (Blk 121),1,2017-02-15
Bedok Reservoir Road (Blk 133),1,2017-02-15
Choa Chu Kang Street    62 (Blk 607),1,2017-02-15
Choa Chu Kang Street    62 (Blk 615),1,2017-02-15
Dakota Crescent (Blk 60),1,2017-02-15
Old Airport Road    (Blk 99),1,2017-02-15
Jurong West Street 81 (Blk 817),1,2017-02-15
Jurong West Street 81 (Blk 831),1,2017-02-15
Redhill Lane (Blk 82),1,2017-02-15
Redhill Lane (Blk 85),1,2017-02-15
Tampines Street    23 (Blk 212),1,2017-02-15
Tampines Street    23 (Blk 225),1,2017-02-15
Tampines Street    41 (Blk 421),1,2017-02-15
Tampines Street    41 (Blk 424),1,2017-02-15
Tampines Street    45 (Blk 498H),1,2017-02-15
Tampines Street    45 (Blk 498J),1,2017-02-15
Tampines Street    11 (Blk 101),4,2017-02-16
Tampines Street    11 (Blk 102),4,2017-02-16
Tampines Street    11 (Blk 103),2,2017-02-16
Tampines Street    11 (Blk 104),5,2017-02-16
Tampines Street    11 (Blk 107),2,2017-02-16
Tampines Street    11 (Blk 113),1,2017-02-16
Tampines Street    11 (Blk 138),1,2017-02-16
Tampines Street    11 (Blk 139),1,2017-02-16
Tampines Street    11 (Tampines Court),1,2017-02-16
Beach Road,7,2017-02-16
Sungei Kadut Street 1,3,2017-02-16
Tampines Street    41 (Blk 421),1,2017-02-16
Tampines Street    41 (Blk 423),1,2017-02-16
Tampines Street    41 (Blk 424),1,2017-02-16
Bedok Reservoir Road (Blk 121),1,2017-02-16
Bedok Reservoir Road (Blk 133),1,2017-02-16
Choa Chu Kang Street    62 (Blk 607),1,2017-02-16
Choa Chu Kang Street    62 (Blk 615),1,2017-02-16
Dakota Crescent (Blk 60),1,2017-02-16
Old Airport Road    (Blk 99),1,2017-02-16
Jurong West Street 81 (Blk 817),1,2017-02-16
Jurong West Street 81 (Blk 831),1,2017-02-16
Redhill Lane (Blk 82),1,2017-02-16
Redhill Lane (Blk 85),1,2017-02-16
Tampines Street    23 (Blk 212),1,2017-02-16
Tampines Street    23 (Blk 225),1,2017-02-16
Tampines Street 45    (Blk 498H),1,2017-02-16
Tampines Street    45 (Blk 498J),1,2017-02-16
Tampines Street 11 (Blk    101),4,2017-02-17
Tampines Street 11 (Blk    102),4,2017-02-17
Tampines Street 11 (Blk    103),2,2017-02-17
Tampines Street 11 (Blk    104),5,2017-02-17
Tampines Street 11 (Blk    107),2,2017-02-17
Tampines Street 11 (Blk    113),1,2017-02-17
Tampines Street 11 (Blk    138),1,2017-02-17
Tampines Street 11 (Blk    139),1,2017-02-17
Tampines Street 11 (Tampines Court),1,2017-02-17
Beach Road,7,2017-02-17
Sungei Kadut Street 1,3,2017-02-17
Tampines Street 41 (Blk    421),1,2017-02-17
Tampines Street 41 (Blk    423),1,2017-02-17
Tampines Street 41 (Blk    424),1,2017-02-17
Bedok Reservoir Road (Blk 121),1,2017-02-17
Bedok Reservoir Road (Blk 133),1,2017-02-17
Choa Chu Kang Street 62 (Blk    607),1,2017-02-17
Choa Chu Kang Street 62 (Blk    615),1,2017-02-17
Dakota Crescent (Blk 60),1,2017-02-17
Old Airport Road (Blk 99),1,2017-02-17
Jalan Manis,1,2017-02-17
Jalan Taman,1,2017-02-17
Redhill Lane (Blk 82),1,2017-02-17
Redhill Lane (Blk 85),1,2017-02-17
Tampines Street 23 (Blk    212),1,2017-02-17
Tampines Street 23 (Blk    225),1,2017-02-17
Tampines Street 45 (Blk    498H),1,2017-02-17
Tampines Street 45 (Blk    498J),1,2017-02-17
Yishun Ring Road (Blk 110),1,2017-02-17
Yishun Ring Road (Blk 112),1,2017-02-17
Tampines Street 11 (Blk    101),4,2017-02-18
Tampines Street 11 (Blk    102),4,2017-02-18
Tampines Street 11 (Blk    103),2,2017-02-18
Tampines Street 11 (Blk    104),5,2017-02-18
Tampines Street 11 (Blk    107),2,2017-02-18
Tampines Street 11 (Blk    113),1,2017-02-18
Tampines Street 11 (Blk    138),1,2017-02-18
Tampines Street 11 (Blk    139),1,2017-02-18
Tampines Street 11 (Tampines Court),1,2017-02-18
Beach Road,7,2017-02-18
Tampines Street 41 (Blk    421),1,2017-02-18
Tampines Street 41 (Blk    423),1,2017-02-18
Tampines Street 41 (Blk    424),1,2017-02-18
Bedok Reservoir Road (Blk 121),1,2017-02-18
Bedok Reservoir Road (Blk 133),1,2017-02-18
Choa Chu Kang Street 62 (Blk    607),1,2017-02-18
Choa Chu Kang Street 62 (Blk    615),1,2017-02-18
Dakota Crescent (Blk 60),1,2017-02-18
Old Airport Road (Blk 99),1,2017-02-18
Jalan Taman,1,2017-02-18
Saint Michael's Road (Sunville),1,2017-02-18
Yishun Ring Road (Blk 110),1,2017-02-18
Yishun Ring Road (Blk 112),1,2017-02-18
Tampines Street 11 (Blk    101),4,2017-02-19
Tampines Street 11 (Blk    102),4,2017-02-19
Tampines Street 11 (Blk    103),2,2017-02-19
Tampines Street 11 (Blk    104),5,2017-02-19
Tampines Street 11 (Blk    107),2,2017-02-19
Tampines Street 11 (Blk    113),1,2017-02-19
Tampines Street 11 (Blk    138),1,2017-02-19
Tampines Street 11 (Blk    139),1,2017-02-19
Tampines Street 11 (Tampines Court),1,2017-02-19
Beach Road,7,2017-02-19
Tampines Street 41 (Blk    421),1,2017-02-19
Tampines Street 41 (Blk    423),1,2017-02-19
Tampines Street 41 (Blk    424),1,2017-02-19
Bedok Reservoir Road (Blk 121),1,2017-02-19
Bedok Reservoir Road (Blk 133),1,2017-02-19
Choa Chu Kang Street 62 (Blk    607),1,2017-02-19
Choa Chu Kang Street 62 (Blk    615),1,2017-02-19
Dakota Crescent (Blk 60),1,2017-02-19
Old Airport Road (Blk 99),1,2017-02-19
Jalan Taman,1,2017-02-19
Saint Michael's Road (Sunville),1,2017-02-19
Yishun Ring Road (Blk 110),1,2017-02-19
Yishun Ring Road (Blk 112),1,2017-02-19
Tampines Street 11 (Blk    101),4,2017-02-19
Tampines Street 11 (Blk    102),4,2017-02-19
Tampines Street 11 (Blk    103),2,2017-02-19
Tampines Street 11 (Blk    104),5,2017-02-19
Tampines Street 11 (Blk    107),2,2017-02-19
Tampines Street 11 (Blk    113),1,2017-02-19
Tampines Street 11 (Blk    138),1,2017-02-19
Tampines Street 11 (Blk    139),1,2017-02-19
Tampines Street 11 (Tampines Court),1,2017-02-19
Beach Road,7,2017-02-19
Tampines Street 41 (Blk    421),1,2017-02-19
Tampines Street 41 (Blk    423),1,2017-02-19
Tampines Street 41 (Blk    424),1,2017-02-19
Bedok Reservoir Road (Blk 121),1,2017-02-19
Bedok Reservoir Road (Blk 133),1,2017-02-19
Choa Chu Kang Street 62 (Blk    607),1,2017-02-19
Choa Chu Kang Street 62 (Blk    615),1,2017-02-19
Dakota Crescent (Blk 60),1,2017-02-19
Old Airport Road (Blk 99),1,2017-02-19
Jalan Taman,1,2017-02-19
Saint Michael's Road (Sunville),1,2017-02-19
Yishun Ring Road (Blk 110),1,2017-02-19
Yishun Ring Road (Blk 112),1,2017-02-19
Tampines Street 11 (Blk    101),4,2017-02-20
Tampines Street 11 (Blk    102),4,2017-02-20
Tampines Street 11 (Blk    103),2,2017-02-20
Tampines Street 11 (Blk    104),5,2017-02-20
Tampines Street 11 (Blk    107),2,2017-02-20
Tampines Street 11 (Blk    113),1,2017-02-20
Tampines Street 11 (Blk    138),1,2017-02-20
Tampines Street 11 (Blk    139),1,2017-02-20
Tampines Street 11 (Tampines Court),1,2017-02-20
Beach Road,7,2017-02-20
Tampines Street 41 (Blk    421),1,2017-02-20
Tampines Street 41 (Blk    423),1,2017-02-20
Tampines Street 41 (Blk    424),1,2017-02-20
Bedok Reservoir Road (Blk 121),1,2017-02-20
Bedok Reservoir Road (Blk 133),1,2017-02-20
Choa Chu Kang Street 62 (Blk    607),1,2017-02-20
Choa Chu Kang Street 62 (Blk    615),1,2017-02-20
Dakota Crescent (Blk 60),1,2017-02-20
Old Airport Road (Blk 99),1,2017-02-20
Jalan Taman,1,2017-02-20
Saint Michael's Road (Sunville),1,2017-02-20
Yishun Ring Road (Blk 110),1,2017-02-20
Yishun Ring Road (Blk 112),1,2017-02-20
Tampines Street 11 (Blk    101),4,2017-02-20
Tampines Street 11 (Blk    102),4,2017-02-20
Tampines Street 11 (Blk    103),2,2017-02-20
Tampines Street 11 (Blk    104),5,2017-02-20
Tampines Street 11 (Blk    107),2,2017-02-20
Tampines Street 11 (Blk    113),1,2017-02-20
Tampines Street 11 (Blk    138),1,2017-02-20
Tampines Street 11 (Blk    139),1,2017-02-20
Tampines Street 11 (Tampines Court),1,2017-02-20
Beach Road,7,2017-02-20
Tampines Street 41 (Blk    421),1,2017-02-20
Tampines Street 41 (Blk    423),1,2017-02-20
Tampines Street 41 (Blk    424),1,2017-02-20
Bedok Reservoir Road (Blk 121),1,2017-02-20
Bedok Reservoir Road (Blk 133),1,2017-02-20
Choa Chu Kang Street 62 (Blk    607),1,2017-02-20
Choa Chu Kang Street 62 (Blk    615),1,2017-02-20
Dakota Crescent (Blk 60),1,2017-02-20
Old Airport Road (Blk 99),1,2017-02-20
Jalan Taman,1,2017-02-20
Saint Michael's Road (Sunville),1,2017-02-20
Yishun Ring Road (Blk 110),1,2017-02-20
Yishun Ring Road (Blk 112),1,2017-02-20
Tampines Street 11 (Blk    101),4,2017-02-21
Tampines Street 11 (Blk    102),4,2017-02-21
Tampines Street 11 (Blk    103),2,2017-02-21
Tampines Street 11 (Blk    104),5,2017-02-21
Tampines Street 11 (Blk    107),2,2017-02-21
Tampines Street 11 (Blk    113),1,2017-02-21
Tampines Street 11 (Blk    138),1,2017-02-21
Tampines Street 11 (Blk    139),1,2017-02-21
Tampines Street 11 (Tampines Court),1,2017-02-21
Jalan Kemaman,2,2017-02-21
Jalan Kemaman (Kemaman Point),1,2017-02-21
Tampines Street 41 (Blk    421),1,2017-02-21
